Date,Code,chg_rate
2019-05-20,AMZN,-0.005366521828183535
2019-05-20,AAPL,-0.031269954064684025
2019-05-20,TSLA,-0.0268682806024918
2019-05-20,GE,-0.012000093356790307
2019-05-20,GILD,-0.007534607636143886
2019-05-20,BA,-0.006281236615067186
2019-05-20,NFLX,-0.01788694212758435
2019-05-20,MS,-0.00022786302940536182
2019-05-20,LNVGY,-0.0525327819919138
2019-05-20,BABA,-0.052603721427453065
2019-05-20,LK,-0.0868497852454504
2019-05-20,JOBS,-0.0033384040312579573
2019-05-20,CEO,0.009442892424711856
2019-05-20,TSM,-0.03950325682164968
2019-05-20,JD,-0.032412107570820685
2019-05-20,^GSPC,-0.006749377915387989
2019-05-20,RF,0.0065
2019-05-20,Mkt_RF,-0.013249377915387987
2019-05-21,AMZN,-0.0007799755750366177
2019-05-21,AAPL,0.019170988700140782
2019-05-21,TSLA,-0.0013634533933921664
2019-05-21,GE,0.008097229750801294
2019-05-21,GILD,0.010021249096231477
2019-05-21,BA,0.01689382828955743
2019-05-21,NFLX,0.017695567267018486
2019-05-21,MS,0.011853306072060256
2019-05-21,LNVGY,0.03498347483595876
2019-05-21,BABA,0.017304692716566098
2019-05-21,LK,-0.06878026032591987
2019-05-21,JOBS,-0.0006978792839209548
2019-05-21,CEO,-0.0070304350394641
2019-05-21,TSM,0.01655472741011854
2019-05-21,JD,0.02432999336597796
2019-05-21,^GSPC,0.008495835590448308
2019-05-21,RF,0.0065
2019-05-21,Mkt_RF,0.001995835590448309
2019-05-22,AMZN,0.0011628591654331275
2019-05-22,AAPL,-0.020471645795645088
2019-05-22,TSLA,-0.06022034025359513
2019-05-22,GE,-0.006023998791902296
2019-05-22,GILD,-0.0003006593750193298
2019-05-22,BA,-0.016641142989580415
2019-05-22,NFLX,0.01541203641848865
2019-05-22,MS,-0.020274842121725808
2019-05-22,LNVGY,-0.013392760174160913
2019-05-22,BABA,-0.028146552351943188
2019-05-22,LK,-0.14887477986522213
2019-05-22,JOBS,-0.041340770217229934
2019-05-22,CEO,-0.012989981916165185
2019-05-22,TSM,-0.010178220175950492
2019-05-22,JD,-0.02822718472839425
2019-05-22,^GSPC,-0.002824396230649451
2019-05-22,RF,0.0065
2019-05-22,Mkt_RF,-0.00932439623064945
2019-05-23,AMZN,-0.02376756859546214
2019-05-23,AAPL,-0.017069647055726445
2019-05-23,TSLA,0.014320503239959146
2019-05-23,GE,-0.034343456686567575
2019-05-23,GILD,0.010075057533424305
2019-05-23,BA,-0.006321207827971853
2019-05-23,NFLX,-0.02090462097013035
2019-05-23,MS,-0.017935174657748187
2019-05-23,LNVGY,-0.031027838996868895
2019-05-23,BABA,-0.01781780393143184
2019-05-23,LK,0.07050847199003574
2019-05-23,JOBS,0.0007284826952569379
2019-05-23,CEO,-0.028337689039721562
2019-05-23,TSM,-0.021336596127021323
2019-05-23,JD,-0.054197619699134836
2019-05-23,^GSPC,-0.01191414994527018
2019-05-23,RF,0.0065
2019-05-23,Mkt_RF,-0.018414149945270183
2019-05-24,AMZN,0.004296411368915898
2019-05-24,AAPL,-0.0038406171699969524
2019-05-24,TSLA,-0.024860610074477263
2019-05-24,GE,-0.011506340045708274
2019-05-24,GILD,-0.004168559408327499
2019-05-24,BA,0.012409071610842927
2019-05-24,NFLX,0.006189555226281618
2019-05-24,MS,0.005853374728644446
2019-05-24,LNVGY,0.0
2019-05-24,BABA,-0.006410256410256388
2019-05-24,LK,-0.02976569146068897
2019-05-24,JOBS,-0.008443759068860746
2019-05-24,CEO,0.016290286737939974
2019-05-24,TSM,0.0034146732898956427
2019-05-24,JD,-0.014232249335464076
2019-05-24,^GSPC,0.0013535590072402126
2019-05-24,RF,0.0065
2019-05-24,Mkt_RF,-0.005146440992759787
2019-05-28,AMZN,0.0072122900502198375
2019-05-28,AAPL,-0.004134752354363891
2019-05-28,TSLA,-0.010124266321623663
2019-05-28,GE,-0.009524010860016974
2019-05-28,GILD,-0.04365358552674259
2019-05-28,BA,-5.629372612991901e-05
2019-05-28,NFLX,0.0018905242316742399
2019-05-28,MS,-0.01838918602443784
2019-05-28,LNVGY,-0.03935951899537349
2019-05-28,BABA,-0.0012258222026210186
2019-05-28,LK,0.05156664042194725
2019-05-28,JOBS,0.027749219978147943
2019-05-28,CEO,-0.010145760844263774
2019-05-28,TSM,-0.014397918353670769
2019-05-28,JD,-0.0011397712630967227
2019-05-28,^GSPC,-0.00837567692294672
2019-05-28,RF,0.0065
2019-05-28,Mkt_RF,-0.014875676922946716
2019-05-29,AMZN,-0.00938784042977836
2019-05-29,AAPL,-0.00476916780782799
2019-05-29,TSLA,0.006147282281014911
2019-05-29,GE,0.0010686154995422914
2019-05-29,GILD,-0.009379457698943659
2019-05-29,BA,-0.017132642402033604
2019-05-29,NFLX,-0.016532403417872543
2019-05-29,MS,0.0004743950162600097
2019-05-29,LNVGY,0.0006943423073371148
2019-05-29,BABA,-0.015050719383758238
2019-05-29,LK,0.0707634603636158
2019-05-29,JOBS,-0.025714329310825845
2019-05-29,CEO,0.002304708041452219
2019-05-29,TSM,0.0010622976327347988
2019-05-29,JD,-0.010650463175911671
2019-05-29,^GSPC,-0.0069119122568113145
2019-05-29,RF,0.0065
2019-05-29,Mkt_RF,-0.013411912256811313
2019-05-30,AMZN,-0.0015776225735774085
2019-05-30,AAPL,0.0051866743923816285
2019-05-30,TSLA,-0.008637920413351985
2019-05-30,GE,0.010672287702801151
2019-05-30,GILD,-0.00047340687374552987
2019-05-30,BA,0.0030676363166022287
2019-05-30,NFLX,0.007617639805010512
